                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.1015,                0.88123,                 1.3633,                0.66692,                0.58148,                0.64346,                0.39707,                 1.3808,                 1.1617,                 1.6306,             0.00028072,             0.00028072,             0.00028072
                    149,                 1.0872,                 0.8593,                 1.3463,                0.62893,                 0.6119,                0.63996,                0.39388,                 1.3756,                 1.1678,                 1.6287,             0.00027129,             0.00027129,             0.00027129
                    150,                 1.1081,                0.86411,                 1.3521,                0.62278,                0.61308,                0.63358,                0.38535,                  1.397,                 1.1893,                 1.6351,             0.00026186,             0.00026186,             0.00026186
                    151,                  1.099,                 0.8677,                 1.3585,                0.61054,                0.62112,                0.63514,                0.39224,                 1.3759,                 1.1734,                 1.6265,             0.00025243,             0.00025243,             0.00025243
                    152,                 1.0982,                0.86502,                 1.3586,                0.61823,                0.61977,                0.63407,                0.39144,                 1.3788,                 1.1834,                 1.6338,               0.000243,               0.000243,               0.000243
                    153,                 1.0915,                0.85577,                 1.3431,                0.62765,                0.61235,                0.63992,                 0.3936,                 1.3802,                 1.1826,                 1.6339,             0.00023357,             0.00023357,             0.00023357
                    154,                  1.095,                0.85127,                 1.3417,                0.61283,                0.62738,                0.63562,                0.39021,                 1.3929,                 1.1907,                  1.646,             0.00022414,             0.00022414,             0.00022414
                    155,                 1.0945,                0.84781,                 1.3482,                0.63202,                0.61735,                0.63695,                0.39257,                 1.3908,                 1.1839,                 1.6385,             0.00021471,             0.00021471,             0.00021471
                    156,                 1.0871,                0.84666,                 1.3401,                0.63663,                0.60799,                0.63657,                0.39317,                 1.3826,                 1.1833,                 1.6394,             0.00020528,             0.00020528,             0.00020528
                    157,                  1.072,                0.83205,                 1.3391,                0.61467,                0.61808,                0.63736,                0.39405,                 1.3861,                 1.1794,                 1.6369,             0.00019585,             0.00019585,             0.00019585
                    158,                 1.0826,                0.84256,                 1.3447,                0.61807,                0.61957,                0.63244,                0.38989,                   1.39,                 1.1878,                 1.6401,             0.00018642,             0.00018642,             0.00018642
                    159,                 1.0738,                0.84022,                 1.3381,                0.62256,                 0.6039,                0.62139,                0.37903,                 1.4008,                 1.2093,                 1.6487,             0.00017699,             0.00017699,             0.00017699
                    160,                 1.0667,                 0.8296,                 1.3349,                0.62799,                0.61237,                0.63858,                0.39628,                 1.3797,                 1.1813,                 1.6361,             0.00016756,             0.00016756,             0.00016756
                    161,                 1.0801,                0.82978,                 1.3394,                0.63048,                0.60936,                0.63516,                0.39039,                 1.3902,                 1.1916,                 1.6349,             0.00015813,             0.00015813,             0.00015813
                    162,                 1.0741,                0.84089,                 1.3412,                0.62729,                0.61658,                0.63488,                0.39203,                 1.3836,                 1.1877,                 1.6386,              0.0001487,              0.0001487,              0.0001487
                    163,                 1.0655,                0.82186,                 1.3237,                0.61774,                0.61331,                0.63171,                0.38951,                 1.3921,                 1.1928,                 1.6455,             0.00013927,             0.00013927,             0.00013927
                    164,                 1.0673,                0.82033,                 1.3275,                0.62743,                0.60383,                0.62871,                0.38709,                  1.393,                 1.2093,                 1.6494,             0.00012984,             0.00012984,             0.00012984
                    165,                 1.0624,                0.82422,                 1.3337,                0.62486,                0.61608,                 0.6326,                0.38886,                 1.3972,                 1.1906,                 1.6543,             0.00012041,             0.00012041,             0.00012041
                    166,                0.98599,                 0.6915,                 1.2732,                0.63409,                 0.6106,                0.63705,                0.39298,                 1.3869,                 1.1835,                 1.6546,             0.00011097,             0.00011097,             0.00011097
                    167,                 0.9802,                0.68589,                 1.2699,                0.61983,                0.61562,                0.63409,                0.39275,                  1.382,                  1.189,                 1.6448,             0.00010154,             0.00010154,             0.00010154
                    168,                0.97401,                0.66843,                 1.2604,                0.62283,                0.61589,                0.63131,                0.38787,                 1.3932,                 1.2017,                  1.665,             9.2114e-05,             9.2114e-05,             9.2114e-05
                    169,                0.97893,                0.67349,                 1.2684,                0.61443,                0.62394,                0.63092,                0.38844,                 1.3933,                 1.1992,                 1.6576,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    170,                0.95901,                0.65102,                 1.2554,                0.62131,                0.61457,                0.62965,                0.38882,                  1.386,                 1.1966,                 1.6541,             7.3253e-05,             7.3253e-05,             7.3253e-05
                    171,                0.96699,                0.65932,                 1.2593,                0.62443,                0.61478,                0.62852,                0.38645,                  1.397,                 1.2047,                 1.6616,             6.3822e-05,             6.3822e-05,             6.3822e-05
                    172,                0.97306,                0.66062,                  1.268,                0.62389,                 0.6183,                0.63035,                0.38771,                 1.3973,                 1.1992,                 1.6602,             5.4392e-05,             5.4392e-05,             5.4392e-05
                    173,                0.96148,                0.65903,                 1.2595,                 0.6239,                0.62035,                0.62968,                0.38655,                 1.3983,                 1.1993,                 1.6637,             4.4961e-05,             4.4961e-05,             4.4961e-05
                    174,                0.95158,                0.64934,                 1.2521,                 0.6406,                0.60269,                0.63009,                0.38905,                 1.3917,                 1.1997,                 1.6584,             3.5531e-05,             3.5531e-05,             3.5531e-05
                    175,                0.95237,                0.64891,                 1.2523,                0.62854,                0.61353,                0.62958,                 0.3883,                 1.3962,                 1.1995,                 1.6637,               2.61e-05,               2.61e-05,               2.61e-05
